          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
                   0                   (1, 0.0002037)                   (1.707, 0.7072)
               0.001                   (1, 0.0001988)                   (1.707, 0.7072)
               0.002                   (1, 0.0001841)                   (1.707, 0.7072)
               0.003                   (1, 0.0001595)                   (1.707, 0.7071)
               0.004                   (1, 0.0001252)                   (1.707, 0.7071)
               0.005                   (1, 8.104e-05)                   (1.707, 0.7071)
               0.006                   (1, 2.709e-05)                   (1.707, 0.707)
               0.007                   (1, -3.668e-05)                   (1.707, 0.7069)
               0.008                   (1, -0.0001103)                   (1.707, 0.7069)
               0.009                   (1, -0.0001936)                   (1.707, 0.7068)
                0.01                   (1, -0.0002868)                   (1.707, 0.7067)
               0.011                   (1, -0.0003898)                   (1.707, 0.7066)
               0.012                   (1, -0.0005026)                   (1.707, 0.7065)
               0.013                   (1, -0.0006252)                   (1.707, 0.7063)
               0.014                   (1, -0.0007576)                   (1.707, 0.7062)
               0.015                   (1, -0.0008998)                   (1.707, 0.7061)
               0.016                   (1, -0.001052)                   (1.707, 0.7059)
               0.017                   (1, -0.001214)                   (1.707, 0.7058)
               0.018                   (1, -0.001385)                   (1.707, 0.7056)
               0.019                   (1, -0.001567)                   (1.707, 0.7054)
                0.02                   (1, -0.001758)                   (1.707, 0.7052)
               0.021                   (1, -0.001959)                   (1.707, 0.705)
               0.022                   (1, -0.002169)                   (1.707, 0.7048)
               0.023                   (1, -0.00239)                   (1.707, 0.7046)
               0.024                   (1, -0.00262)                   (1.707, 0.7043)
               0.025                   (1, -0.00286)                   (1.707, 0.7041)
               0.026                   (1, -0.00311)                   (1.707, 0.7039)
               0.027                   (1, -0.00337)                   (1.707, 0.7036)
               0.028                   (1, -0.003639)                   (1.707, 0.7033)
               0.029                   (1, -0.003918)                   (1.707, 0.703)
                0.03                   (1, -0.004207)                   (1.707, 0.7028)
               0.031                   (1, -0.004506)                   (1.707, 0.7025)
               0.032                   (1, -0.004814)                   (1.707, 0.7021)
               0.033                   (1, -0.005133)                   (1.707, 0.7018)
               0.034                   (1, -0.005461)                   (1.707, 0.7015)
               0.035                   (1, -0.005798)                   (1.707, 0.7012)
               0.036                   (1, -0.006146)                   (1.707, 0.7008)
               0.037                   (1, -0.006503)                   (1.707, 0.7005)
               0.038                   (1, -0.00687)                   (1.707, 0.7001)
               0.039                   (1, -0.007246)                   (1.707, 0.6997)
                0.04                   (1, -0.007633)                   (1.707, 0.6993)
               0.041                   (1, -0.008029)                   (1.707, 0.6989)
               0.042                   (1, -0.008434)                   (1.707, 0.6985)
               0.043                   (1, -0.00885)                   (1.707, 0.6981)
               0.044                   (1, -0.009275)                   (1.707, 0.6977)
               0.045                   (1, -0.00971)                   (1.707, 0.6972)
               0.046                   (0.9999, -0.01015)                   (1.707, 0.6968)
               0.047                   (0.9999, -0.01061)                   (1.707, 0.6963)
               0.048                   (0.9999, -0.01107)                   (1.707, 0.6959)
               0.049                   (0.9999, -0.01155)                   (1.707, 0.6954)
                0.05                   (0.9999, -0.01203)                   (1.707, 0.6949)
               0.051                   (0.9999, -0.01252)                   (1.707, 0.6944)
               0.052                   (0.9999, -0.01303)                   (1.707, 0.6939)
               0.053                   (0.9999, -0.01354)                   (1.707, 0.6934)
               0.054                   (0.9999, -0.01406)                   (1.707, 0.6928)
               0.055                   (0.9999, -0.01459)                   (1.707, 0.6923)
               0.056                   (0.9999, -0.01513)                   (1.707, 0.6918)
               0.057                   (0.9999, -0.01568)                   (1.707, 0.6912)
               0.058                   (0.9999, -0.01624)                   (1.707, 0.6906)
               0.059                   (0.9999, -0.01681)                   (1.707, 0.6901)
